task,fold,held_out_city,station_id,model,n,rmse,mae,bias,r2,median_ae,f1_exceed,f1_trivial_always,beats_trivial,peirce_skill,base_rate,precision,recall,n_days,n_exceed_obs,kriging_fallback_rate
N,0,Almaty,8876,training_pool_mean,8307,32.741660418356894,27.870839238895144,14.320203019760273,-0.2365403552858698,27.588290175171366,0.6309523809523809,0.6309523809523809,False,0.0,0.4608695652173913,0.4608695652173913,1.0,345,159,
N,0,Almaty,8876,nearest_monitor,8307,35.43616472116671,19.853795594077283,-10.649801372336583,-0.44843936119183003,9.0,0.6530612244897959,0.6309523809523809,True,0.4708865895719213,0.4608695652173913,0.9302325581395349,0.5031446540880503,345,159,
N,0,Almaty,8876,idw_k5_p2,8307,29.533430536734933,16.313976562300567,-5.425815100830104,-0.006085031812977704,7.133155928702411,0.8231292517006802,0.6309523809523809,True,0.685737472103875,0.4608695652173913,0.8962962962962963,0.7610062893081762,345,159,
N,0,Almaty,8876,ordinary_kriging,8307,28.852733276191717,19.079951514034256,6.930056169082821,0.03975773685050166,11.42487578677733,0.7166276346604217,0.6309523809523809,True,0.3439845810509231,0.4608695652173913,0.5708955223880597,0.9622641509433962,345,159,0.0014
N,1,Ashgabat,Ashgabat,training_pool_mean,6394,33.340208146246056,24.038388440219258,15.874257446530141,-0.2931580573842685,23.65233064014916,0.8490153172866521,0.8490153172866521,False,0.0,0.7376425855513308,0.7376425855513308,1.0,263,194,
N,1,Ashgabat,Ashgabat,nearest_monitor,6394,62.040484268376034,33.51975445730372,19.197574288395373,-3.4778068327665155,17.0,0.8240963855421688,0.8490153172866521,False,0.15680561780965185,0.7376425855513308,0.7737556561085973,0.8814432989690721,263,194,
N,1,Ashgabat,Ashgabat,idw_k5_p2,6394,40.792929123641976,22.916773709215057,6.670360906352994,-0.9359082833971919,11.35063749547033,0.8168316831683168,0.8490153172866521,False,0.19834155087404748,0.7376425855513308,0.7857142857142857,0.8505154639175257,263,194,
N,1,Ashgabat,Ashgabat,ordinary_kriging,6394,39.165083342095635,21.767574082576562,5.025057835689794,-0.7844858416398699,10.854888101696098,0.7817258883248732,0.8490153172866521,False,0.12714776632302405,0.7376425855513308,0.77,0.7938144329896907,263,194,0.0023
N,2,Bishkek,Bishkek,training_pool_mean,7900,38.7160023665556,34.552018965807086,27.1721154550974,-0.9707060521622417,36.96984963231259,0.3795620437956204,0.3795620437956204,False,0.0,0.23423423423423423,0.23423423423423423,1.0,333,78,
N,2,Bishkek,Bishkek,nearest_monitor,7900,34.632921624746345,19.75769746835443,13.07205189873418,-0.576954253941826,9.0,0.628099173553719,0.3795620437956204,True,0.6292609351432881,0.23423423423423423,0.4634146341463415,0.9743589743589743,333,78,
N,2,Bishkek,Bishkek,idw_k5_p2,7900,34.90456293428323,23.040990632529986,17.546012352988356,-0.6017887657328502,13.144262159646287,0.5397923875432525,0.3795620437956204,True,0.4784313725490196,0.23423423423423423,0.3696682464454976,1.0,333,78,
