held_out_city,station_id,model_a,model_b,truncation_lag,dm_stat,p_value,n,horizon_hours,mean_loss_diff,better,significant_at_05
Almaty,8876,idw_k5_p2,nearest_monitor,24,-6.3256655823053505,2.6518121032381714e-10,8307,24,-383.4982508775128,a,True
Almaty,8876,idw_k5_p2,ordinary_kriging,24,0.690243054749376,0.4900606377753087,8307,24,39.74330176108675,b,False
Almaty,8876,idw_k5_p2,training_pool_mean,24,-3.6863704996937305,0.00022892441010946563,8307,24,-199.79280768285082,a,True
Almaty,8876,nearest_monitor,ordinary_kriging,24,4.002813004740011,6.313824092440967e-05,8307,24,423.2415526385995,b,True
Almaty,8876,nearest_monitor,training_pool_mean,24,1.7985539992387687,0.07212555242755192,8307,24,183.70544319466194,b,False
Almaty,8876,ordinary_kriging,training_pool_mean,24,-4.725580619458973,2.3323034172850754e-06,8307,24,-239.53610944393756,a,True
Ashgabat,Ashgabat,idw_k5_p2,nearest_monitor,24,-3.769305589884078,0.00016517693869166905,6394,24,-2184.9586217681353,a,True
Ashgabat,Ashgabat,idw_k5_p2,ordinary_kriging,24,5.791114629967149,7.324265194341706e-09,6394,24,130.15931329318107,b,True
Ashgabat,Ashgabat,idw_k5_p2,training_pool_mean,24,3.626525781670973,0.00028949747868289855,6394,24,552.4935872514661,b,True
Ashgabat,Ashgabat,nearest_monitor,ordinary_kriging,24,3.9326541009476665,8.49016732291652e-05,6394,24,2315.1179350613165,b,True
Ashgabat,Ashgabat,nearest_monitor,training_pool_mean,24,4.022543436081015,5.823657657866299e-05,6394,24,2737.452209019601,b,True
Ashgabat,Ashgabat,ordinary_kriging,training_pool_mean,24,3.1476173511447016,0.0016536395886808108,6394,24,422.33427395828505,b,True
Bishkek,Bishkek,idw_k5_p2,nearest_monitor,24,0.5102663520421052,0.6098791304690365,7900,24,18.88925336751571,b,False
Bishkek,Bishkek,idw_k5_p2,ordinary_kriging,24,-7.2204622201307584,5.662137425588298e-13,7900,24,-367.53445839727874,a,True
Bishkek,Bishkek,idw_k5_p2,training_pool_mean,24,-2.9903754103934053,0.002794939245631456,7900,24,-280.60032561380075,a,True
Bishkek,Bishkek,nearest_monitor,ordinary_kriging,24,-4.804017882743428,1.583786516157204e-06,7900,24,-386.4237117647944,a,True
Bishkek,Bishkek,nearest_monitor,training_pool_mean,24,-2.8317737718559246,0.004640767120799971,7900,24,-299.4895789813164,a,True
Bishkek,Bishkek,ordinary_kriging,training_pool_mean,24,0.8768207776259885,0.380610656776164,7900,24,86.93413278347805,b,False
Dushanbe,Dushanbe,idw_k5_p2,nearest_monitor,24,-3.728873892024484,0.00019362070912976037,8282,24,-177.48623321275548,a,True
Dushanbe,Dushanbe,idw_k5_p2,ordinary_kriging,24,1.6696764578665235,0.09502119019761013,8282,24,146.87429157327648,b,False
Dushanbe,Dushanbe,idw_k5_p2,training_pool_mean,24,0.9272144426610257,0.3538422281630442,8282,24,167.64086275020475,b,False
Dushanbe,Dushanbe,nearest_monitor,ordinary_kriging,24,3.508359771638793,0.0004532721255121608,8282,24,324.36052478603193,b,True
Dushanbe,Dushanbe,nearest_monitor,training_pool_mean,24,2.006025753510106,0.04488596350412433,8282,24,345.12709596296014,b,True
Dushanbe,Dushanbe,ordinary_kriging,training_pool_mean,24,0.16090196702797957,0.872174537947739,8282,24,20.766571176928277,b,False
Khujand,1894632,idw_k5_p2,nearest_monitor,24,-3.9475151362831165,7.976857217117939e-05,6753,24,-393.96058676309383,a,True
Khujand,1894632,idw_k5_p2,ordinary_kriging,24,4.041653091366453,5.366531197159574e-05,6753,24,333.44812768505767,b,True
Khujand,1894632,idw_k5_p2,training_pool_mean,24,1.1419663845718415,0.25350848795752334,6753,24,170.49463657433068,b,False
Khujand,1894632,nearest_monitor,ordinary_kriging,24,4.386412659516253,1.1698608393118093e-05,6753,24,727.4087144481515,b,True
Khujand,1894632,nearest_monitor,training_pool_mean,24,2.6531422514443825,0.00799329378840219,6753,24,564.4552233374244,b,True
Khujand,1894632,ordinary_kriging,training_pool_mean,24,-1.79500965010136,0.07269687019377735,6753,24,-162.95349111072701,a,False
Khujand,1924313,idw_k5_p2,nearest_monitor,24,-3.9952953435161036,6.521100483958264e-05,7762,24,-382.45855540524883,a,True
Khujand,1924313,idw_k5_p2,ordinary_kriging,24,0.16389552384567688,0.8698176586795578,7762,24,13.915977793502709,b,False
Khujand,1924313,idw_k5_p2,training_pool_mean,24,-1.9734391708161907,0.04848096802627255,7762,24,-368.2559616737165,a,True
Khujand,1924313,nearest_monitor,ordinary_kriging,24,2.5284192552359,0.011477403247058593,7762,24,396.3745331987515,b,True
Khujand,1924313,nearest_monitor,training_pool_mean,24,0.06329011410965019,0.9495371176671861,7762,24,14.202593731532229,b,False
Khujand,1924313,ordinary_kriging,training_pool_mean,24,-3.0413386773293625,0.002363150194925945,7762,24,-382.17193946721926,a,True
Tashkent,8881,idw_k5_p2,nearest_monitor,24,-3.668131912292511,0.0002459353248673857,7903,24,-285.33193097334566,a,True
Tashkent,8881,idw_k5_p2,ordinary_kriging,24,3.999309302210448,6.410661457501021e-05,7903,24,338.02988034205725,b,True
Tashkent,8881,idw_k5_p2,training_pool_mean,24,0.29452581644441717,0.7683638757174807,7903,24,38.37884938145509,b,False
Tashkent,8881,nearest_monitor,ordinary_kriging,24,5.901420453481924,3.752556265723683e-09,7903,24,623.3618113154029,b,True
Tashkent,8881,nearest_monitor,training_pool_mean,24,2.3498158636157265,0.018807169319996042,7903,24,323.7107803548007,b,True
Tashkent,8881,ordinary_kriging,training_pool_mean,24,-4.525484157558862,6.113862274448323e-06,7903,24,-299.65103096060216,a,True
