task,fold,held_out_city,station_id,model,legal,n,rmse,mae,bias,r2,median_ae
N,Almaty,Almaty,8876,idw_k5_p2,True,345,15.891588050749908,9.252432944241349,-5.46188427965375,0.4795127854361789,4.473916486323066
N,Almaty,Almaty,8876,nearest_monitor,True,345,20.823496788092122,13.381953084904312,-10.839497214288897,0.10631845580375932,7.491666666666667
N,Almaty,Almaty,8876,oracle_city_constant,False,345,22.02735066619081,16.722769400547104,3.954324790317079e-15,0.0,13.495811546011927
N,Almaty,Almaty,8876,ordinary_kriging,True,345,18.088844984838545,12.965709466799334,6.956356059531548,0.3256317069275748,8.567863119135083
N,Almaty,Almaty,8876,train_global_mean,True,345,26.401827250718057,24.096914778826655,14.555147021085766,-0.436625063603455,26.300958567097688
N,Almaty,Almaty,8876,train_global_median,True,345,22.324318269678407,18.19414861641894,3.6291884539880748,-0.027145291505765945,16.708333333333332
N,Almaty,Almaty,8876,training_pool_mean,True,345,26.30794201876637,23.99332242932153,14.384145295826109,-0.4264259162243129,26.12995684183803
N,Ashgabat,Ashgabat,Ashgabat,idw_k5_p2,True,263,31.545826597371,19.948536451384737,6.6356543950109526,-1.8843647143235298,11.32102155459229
N,Ashgabat,Ashgabat,Ashgabat,nearest_monitor,True,263,49.20067640892139,29.054174279757646,19.268284824069045,-6.016305611518995,15.333333333333329
N,Ashgabat,Ashgabat,Ashgabat,oracle_city_constant,False,263,18.574486859262766,12.482277818540704,4.322693449491104e-16,0.0,10.530493693041223
N,Ashgabat,Ashgabat,Ashgabat,ordinary_kriging,True,263,29.862295081804955,18.943342366114415,5.004589740174744,-1.584715312622726,10.92913311335556
N,Ashgabat,Ashgabat,Ashgabat,train_global_mean,True,263,23.751291655338022,20.06505689082428,14.802442136755825,-0.6350868124183895,20.54126916313038
N,Ashgabat,Ashgabat,Ashgabat,train_global_median,True,263,18.797381639968133,13.309658949268803,2.8861729736254462,-0.024144102253696342,12.0
N,Ashgabat,Ashgabat,Ashgabat,training_pool_mean,True,263,24.45917331698973,20.893488529449964,15.913503613774608,-0.7340032192987263,21.36066397348249
N,Bishkek,Bishkek,Bishkek,idw_k5_p2,True,334,25.10906893003658,18.771764423790735,17.62096155621856,-1.3911469331662984,11.465356500806019
N,Bishkek,Bishkek,Bishkek,nearest_monitor,True,334,21.6641772640186,14.503870775504966,13.077868953329828,-0.7800387108916309,7.910416666666666
N,Bishkek,Bishkek,Bishkek,oracle_city_constant,False,334,16.23781080891205,9.94322652206275,-2.7230380292602644e-15,0.0,7.422916666666666
N,Bishkek,Bishkek,Bishkek,ordinary_kriging,True,334,31.102367093679735,25.344692042050216,24.019103735412518,-2.66886669076869,19.480532656679408
