city,station,variant,rmse,mae,bias,r2,n
Almaty,8876,raw,23.17287964543394,13.111059163008376,-10.907688184960747,-0.10622353640606508,353
Almaty,8876,debiased_local,21.484543690886248,12.69235149063743,-6.601585270536588,0.04909933584928827,353
Almaty,8876,debiased_pooled,25.430913771141125,23.46158959322182,15.123712696086926,-0.3323146796218728,353
Dushanbe,9769,raw,57.118569277055975,38.985886465512934,-38.888682250095684,-0.7212585312990065,271
Dushanbe,9769,debiased_local,42.46312676780703,30.6490190845782,7.274323734197911,0.04870458150810475,271
Dushanbe,9769,debiased_pooled,46.913297035044714,26.522032726923854,-21.2286619830219,-0.16113676569602453,271
Dushanbe,8684,raw,54.945600174400596,39.133846831672315,-39.03982787363749,-0.8845862946284113,351
Dushanbe,8684,debiased_local,39.04315166442841,27.62315464146368,5.427418702266425,0.04843179835966005,351
Dushanbe,8684,debiased_pooled,44.018405371560384,25.96474160902598,-21.040655724885777,-0.2095359929038354,351
Khujand,1894632,raw,31.83506368349496,17.831153432043887,-15.962085219401844,-0.09157845763809314,330
Khujand,1894632,debiased_local,28.28896249501306,22.002766356036272,6.448432667208576,0.1380589786217653,330
Khujand,1894632,debiased_pooled,28.28896249501306,22.002766356036272,6.448432667208576,0.1380589786217653,330
Khujand,1924313,raw,53.87422484188743,33.95201060479192,-33.72261528529333,-0.4295829395540207,365
Khujand,1924313,debiased_local,43.510698318823046,27.806225451950244,-11.31209739868291,0.0675202811811374,365
Khujand,1924313,debiased_pooled,43.510698318823046,27.806225451950244,-11.31209739868291,0.0675202811811374,365
Tashkent,8881,raw,36.22019128663567,23.191685850468247,-22.25282711852382,-0.35849178571341356,350
Tashkent,8881,debiased_local,29.104548545183825,19.553998078072365,-5.510063878521952,0.1228431246673577,350
Tashkent,8881,debiased_pooled,28.60736351352035,21.719494430500713,1.2912416974083194,0.15255561449111987,350
Bishkek,Bishkek,raw,16.675003491638922,8.259212099506778,-5.27716321426451,-0.09000288846941107,352
Bishkek,Bishkek,debiased_local,22.271394870503528,20.20862878963996,15.678256906356244,-0.9444224098491019,352
Bishkek,Bishkek,debiased_pooled,23.53329783536469,21.64719135374338,17.424374225543843,-1.17100770219646,352
Ashgabat,Ashgabat,raw,23.865132981966738,16.806546165296435,-16.239193200461177,-0.6706705605825836,271
Ashgabat,Ashgabat,debiased_local,22.66052252600721,15.328640251593994,-14.410624716042948,-0.5062704021845155,271
Ashgabat,Ashgabat,debiased_pooled,20.28965863312226,16.237926518322684,10.28771456658768,-0.20757074440516377,271
