tier,held_out_city,seed,model,n_train,n_test,zero_shot,n,rmse,mae,bias,r2,median_ae
static_only,Almaty,0,lightgbm,4283,345,False,345,22.342237098831244,14.325951338271267,7.5667600000108575,-0.028794849386388988,7.825195193188701
static_only,Almaty,1,lightgbm,4283,345,False,345,22.925020621348214,14.368568711536943,7.870027953175117,-0.08316579905910726,7.127281491847835
static_only,Almaty,2,lightgbm,4283,345,False,345,22.927440984812595,14.691384996779933,8.383728521419846,-0.08339452673293879,7.790814622104943
static_only,Almaty,3,lightgbm,4283,345,False,345,24.17001285535279,14.993029429811532,9.321341380989663,-0.2040076089056977,7.310741070312132
static_only,Almaty,4,lightgbm,4283,345,False,345,23.686203614716636,14.809022807059124,8.67539868901847,-0.15628897656510277,7.329544642184571
static_only,Almaty,0,cams_debiased_pooled,0,345,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
static_only,Ashgabat,0,lightgbm,3882,263,False,263,24.879173358574356,17.66551246613639,9.27343518811808,-0.7940652865820035,12.957851513317875
static_only,Ashgabat,1,lightgbm,3882,263,False,263,25.387190858433552,17.897004377053403,9.784563540020539,-0.868080755867205,12.649680134381558
static_only,Ashgabat,2,lightgbm,3882,263,False,263,24.87493379791086,17.902764978521954,9.822574210127126,-0.7934538996642051,13.187251457448568
static_only,Ashgabat,3,lightgbm,3882,263,False,263,25.304564488158235,18.58304275000883,11.197748060750854,-0.8559406533098819,14.803335952900653
static_only,Ashgabat,4,lightgbm,3882,263,False,263,25.528884873104033,18.354629916591612,10.525664551117119,-0.8889916584991926,14.114194886569274
static_only,Ashgabat,0,cams_debiased_pooled,0,263,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
static_only,Bishkek,0,lightgbm,3670,334,False,334,34.30728838471729,27.532769344854405,25.527007284751708,-3.463934693676409,20.525619634370717
static_only,Bishkek,1,lightgbm,3670,334,False,334,33.88996442071789,27.719471358385018,25.89202437305855,-3.3559939886983576,21.139534847110866
static_only,Bishkek,2,lightgbm,3670,334,False,334,34.30989734079086,27.02368729189572,25.253835724506008,-3.4646136544982857,18.720026096175594
static_only,Bishkek,3,lightgbm,3670,334,False,334,35.468609203018644,27.517601975939748,25.83391596863504,-3.771263089682261,19.51894203669269
static_only,Bishkek,4,lightgbm,3670,334,False,334,35.15042968784023,27.512429421964022,25.84886784188735,-3.6860435734825288,18.765555790758206
static_only,Bishkek,0,cams_debiased_pooled,0,334,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
