task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
N,static_only,Almaty,0,lgbm_tuned,"(0.03, 31, 40, 0.7)",39.87848023673814,False,345,16.575828321332565,10.155824870113458,-5.726264913021748,0.4337268775655806,4.417508089160577
N,static_only,Almaty,1,lgbm_tuned,"(0.03, 31, 40, 0.7)",39.87848023673814,False,345,15.917347359567207,10.022330692665806,-5.638689098152073,0.477824060918548,4.944450085630653
N,static_only,Almaty,2,lgbm_tuned,"(0.03, 31, 40, 0.7)",39.87848023673814,False,345,15.832118997051369,9.704714511334796,-4.681581792101288,0.4834010018323428,4.246133325676725
N,static_only,Almaty,3,lgbm_tuned,"(0.03, 31, 40, 0.7)",39.87848023673814,False,345,15.904128932659235,9.840671770135152,-5.040093537631879,0.47869097402047434,4.49783692705604
N,static_only,Almaty,4,lgbm_tuned,"(0.03, 31, 40, 0.7)",39.87848023673814,False,345,15.92096918288236,9.875055262365493,-4.0600662669778735,0.4775864027067137,4.385851541087921
N,static_only,Almaty,0,cams_debiased_pooled,,,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
N,static_only,Ashgabat,0,lgbm_tuned,"(0.03, 31, 40, 0.7)",38.988734591297366,False,263,24.224620718303292,16.725087513438567,6.516162967716655,-0.7009060374654905,11.496793080742194
N,static_only,Ashgabat,1,lgbm_tuned,"(0.03, 31, 40, 0.7)",38.988734591297366,False,263,23.739656922369495,16.8574867849053,8.249092914713694,-0.6334852878150263,12.526213115315247
N,static_only,Ashgabat,2,lgbm_tuned,"(0.03, 31, 40, 0.7)",38.988734591297366,False,263,24.15405598154276,16.933473719190683,7.371945184022668,-0.6910112137514168,12.023070360160576
N,static_only,Ashgabat,3,lgbm_tuned,"(0.03, 31, 40, 0.7)",38.988734591297366,False,263,24.096035896013753,16.980732874407735,7.682689534060266,-0.6828970669657242,12.103392438758355
N,static_only,Ashgabat,4,lgbm_tuned,"(0.03, 31, 40, 0.7)",38.988734591297366,False,263,23.995792957118006,17.790946847248655,10.090957776184506,-0.6689240098543145,14.049208292443526
N,static_only,Ashgabat,0,cams_debiased_pooled,,,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
N,static_only,Bishkek,0,lgbm_tuned,"(0.03, 31, 40, 0.7)",37.96436557295535,False,334,22.03046413723617,19.16417109479602,16.925084533996262,-0.8407395340275285,15.743685073901203
N,static_only,Bishkek,1,lgbm_tuned,"(0.03, 31, 40, 0.7)",37.96436557295535,False,334,22.262228468557964,19.407550068242838,17.15834157053071,-0.8796730591034858,15.933475518531846
N,static_only,Bishkek,2,lgbm_tuned,"(0.03, 31, 40, 0.7)",37.96436557295535,False,334,22.36638510509362,19.363166029977588,17.010649884519786,-0.8973027780303997,16.00470599525228
N,static_only,Bishkek,3,lgbm_tuned,"(0.03, 31, 40, 0.7)",37.96436557295535,False,334,21.622814693127822,18.74947313199122,16.463891757047808,-0.7732480822968497,15.16727332251909
N,static_only,Bishkek,4,lgbm_tuned,"(0.03, 31, 40, 0.7)",37.96436557295535,False,334,22.149653621850103,19.17716193323754,16.809616402572633,-0.8607109959635881,15.429423754922631
N,static_only,Bishkek,0,cams_debiased_pooled,,,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
N,static_only,Dushanbe,0,lgbm_tuned,"(0.03, 31, 40, 0.7)",29.77183258958812,False,343,42.923438986917326,24.567080626800937,-18.170788222441274,-0.1214525449006294,11.869845873735947
N,static_only,Dushanbe,1,lgbm_tuned,"(0.03, 31, 40, 0.7)",29.77183258958812,False,343,43.880966061270236,25.32016915930574,-19.193356766038967,-0.1720448780752719,11.744745265473206
N,static_only,Dushanbe,2,lgbm_tuned,"(0.03, 31, 40, 0.7)",29.77183258958812,False,343,43.661928934413545,25.260148945950878,-18.85084667788645,-0.1603732747412312,12.518846332250124
N,static_only,Dushanbe,3,lgbm_tuned,"(0.03, 31, 40, 0.7)",29.77183258958812,False,343,44.10672952559089,25.383462045798897,-19.34865882230803,-0.1841360246283985,12.314098438942304
N,static_only,Dushanbe,4,lgbm_tuned,"(0.03, 31, 40, 0.7)",29.77183258958812,False,343,44.3218033670178,25.764750650586596,-19.86127243642266,-0.19571238113042133,12.206622024013711
