fold,feature,mean_abs_shap,family
Almaty,aod_055,0.05460357416981392,satellite
Almaty,absorbing_aerosol_index,0.0710219323838067,satellite
Almaty,no2_tropospheric,0.12552981601349925,satellite
Almaty,so2_column,0.01665975778237472,satellite
Almaty,co_column,0.08946783343039272,satellite
Almaty,cams_pm25_forecast,0.07806813293709647,cams_forecast
Almaty,elevation,0.05125575975575203,static_geography
Almaty,ghsl_population_density,0.007341791270621675,static_geography
Almaty,viirs_nighttime_lights,0.1518606643530167,static_geography
Almaty,terrain_basin_index_25km,0.032207521822691626,static_geography
Almaty,terrain_basin_index_50km,0.013952083681645668,static_geography
Almaty,terrain_basin_index_100km,0.0035709827415278234,static_geography
Almaty,distance_to_aralkum,0.0009309260822912814,static_geography
Almaty,doy_sin,0.030759211232357902,calendar
Almaty,doy_cos,0.26141309163271653,calendar
Almaty,month,0.01893772812033031,calendar
Almaty,dow,0.01024638239610648,calendar
Almaty,is_heating_season,0.02005779954713509,calendar
Almaty,nbr_idw,0.11840743164635137,spatial_neighbour
Almaty,nbr_mean,0.03248863086505441,spatial_neighbour
Almaty,nbr_count,0.029353667724023792,spatial_neighbour
Ashgabat,aod_055,0.041972485945000346,satellite
Ashgabat,absorbing_aerosol_index,0.06578844184399936,satellite
Ashgabat,no2_tropospheric,0.09891332054935913,satellite
Ashgabat,so2_column,0.022387615539637314,satellite
Ashgabat,co_column,0.03741570653886727,satellite
Ashgabat,cams_pm25_forecast,0.11042303408356882,cams_forecast
Ashgabat,elevation,0.17376269307582987,static_geography
Ashgabat,ghsl_population_density,0.00640699670565506,static_geography
Ashgabat,viirs_nighttime_lights,0.020355469065805157,static_geography
Ashgabat,terrain_basin_index_25km,0.04381432511083153,static_geography
Ashgabat,terrain_basin_index_50km,0.0037759067636662174,static_geography
Ashgabat,terrain_basin_index_100km,0.005111995955865669,static_geography
Ashgabat,distance_to_aralkum,0.00010931611434746461,static_geography
Ashgabat,doy_sin,0.034822508907051755,calendar
Ashgabat,doy_cos,0.15375576725530013,calendar
Ashgabat,month,0.015103109772982194,calendar
Ashgabat,dow,0.011839674111826015,calendar
Ashgabat,is_heating_season,0.013598669513851032,calendar
Ashgabat,nbr_idw,0.1208030050287499,spatial_neighbour
Ashgabat,nbr_mean,0.035969978746066236,spatial_neighbour
Ashgabat,nbr_count,0.08480795183204828,spatial_neighbour
Bishkek,aod_055,0.041569232602565814,satellite
Bishkek,absorbing_aerosol_index,0.09667901541448327,satellite
Bishkek,no2_tropospheric,0.0647048845938894,satellite
Bishkek,so2_column,0.0222118174950859,satellite
Bishkek,co_column,0.03898099510070976,satellite
Bishkek,cams_pm25_forecast,0.1471086571251344,cams_forecast
Bishkek,elevation,0.03646692096153868,static_geography
Bishkek,ghsl_population_density,0.14549463231313176,static_geography
Bishkek,viirs_nighttime_lights,0.00784181193647998,static_geography
Bishkek,terrain_basin_index_25km,0.042480603661059636,static_geography
Bishkek,terrain_basin_index_50km,0.009100903667848784,static_geography
Bishkek,terrain_basin_index_100km,0.025020526867652063,static_geography
Bishkek,distance_to_aralkum,0.0022425965258998383,static_geography
Bishkek,doy_sin,0.029428500105777185,calendar
Bishkek,doy_cos,0.14517764984641052,calendar
Bishkek,month,0.019970636992574054,calendar
Bishkek,dow,0.01841474605556307,calendar
Bishkek,is_heating_season,0.017294185801101012,calendar
Bishkek,nbr_idw,0.10055767733130651,spatial_neighbour
Bishkek,nbr_mean,0.03658778217964896,spatial_neighbour
Bishkek,nbr_count,0.13498547476112743,spatial_neighbour
Dushanbe,aod_055,0.02363189403320513,satellite
Dushanbe,absorbing_aerosol_index,0.09805247068492831,satellite
Dushanbe,no2_tropospheric,0.04934226612035057,satellite
Dushanbe,so2_column,0.012274463336238207,satellite
Dushanbe,co_column,0.03252271406528869,satellite
Dushanbe,cams_pm25_forecast,0.1423632040249149,cams_forecast
Dushanbe,elevation,0.10476436380762924,static_geography
Dushanbe,ghsl_population_density,0.013418434810209174,static_geography
Dushanbe,viirs_nighttime_lights,0.13671365440099784,static_geography
Dushanbe,terrain_basin_index_25km,0.03786299821651733,static_geography
Dushanbe,terrain_basin_index_50km,0.014264458022709979,static_geography
Dushanbe,terrain_basin_index_100km,0.005994319484132537,static_geography
Dushanbe,distance_to_aralkum,0.0010256661775115803,static_geography
Dushanbe,doy_sin,0.01988428738577485,calendar
Dushanbe,doy_cos,0.11034919176623938,calendar
Dushanbe,month,0.008241488711811122,calendar
Dushanbe,dow,0.009921170747556305,calendar
Dushanbe,is_heating_season,0.013929408910496622,calendar
Dushanbe,nbr_idw,0.09841664813805846,spatial_neighbour
Dushanbe,nbr_mean,0.029780085613612867,spatial_neighbour
Dushanbe,nbr_count,0.1562765474122772,spatial_neighbour
Khujand,aod_055,0.05481163211247371,satellite
Khujand,absorbing_aerosol_index,0.04364570968249367,satellite
Khujand,no2_tropospheric,0.17010175983715106,satellite
Khujand,so2_column,0.018384056542677767,satellite
Khujand,co_column,0.035302423659448724,satellite
Khujand,cams_pm25_forecast,0.0704978358541777,cams_forecast
Khujand,elevation,0.029294579944005344,static_geography
Khujand,ghsl_population_density,0.00873686695894407,static_geography
Khujand,viirs_nighttime_lights,0.11938075891579404,static_geography
Khujand,terrain_basin_index_25km,0.03426698106177415,static_geography
Khujand,terrain_basin_index_50km,0.008595015904972074,static_geography
Khujand,terrain_basin_index_100km,0.003731403748351997,static_geography
Khujand,distance_to_aralkum,0.0012735659346709992,static_geography
Khujand,doy_sin,0.02392028493005113,calendar
Khujand,doy_cos,0.150342877790422,calendar
Khujand,month,0.015508598609121202,calendar
Khujand,dow,0.009774859192124829,calendar
Khujand,is_heating_season,0.013551428390211335,calendar
Khujand,nbr_idw,0.11225080934287034,spatial_neighbour
Khujand,nbr_mean,0.026842023188568064,spatial_neighbour
Khujand,nbr_count,0.013848207320941592,spatial_neighbour
Tashkent,aod_055,0.06799152314538355,satellite
Tashkent,absorbing_aerosol_index,0.09518987894708192,satellite
Tashkent,no2_tropospheric,0.09986238635333435,satellite
Tashkent,so2_column,0.05612951712576748,satellite
Tashkent,co_column,0.04570713761276533,satellite
Tashkent,cams_pm25_forecast,0.05975057522668605,cams_forecast
Tashkent,elevation,0.07562523518841087,static_geography
Tashkent,ghsl_population_density,0.012670118053558674,static_geography
Tashkent,viirs_nighttime_lights,0.029583137117644306,static_geography
Tashkent,terrain_basin_index_25km,0.0031494597538301774,static_geography
Tashkent,terrain_basin_index_50km,0.01924670265801776,static_geography
Tashkent,terrain_basin_index_100km,0.009635883842790334,static_geography
Tashkent,distance_to_aralkum,0.011280684717444825,static_geography
Tashkent,doy_sin,0.032047780031767115,calendar
Tashkent,doy_cos,0.22939195242639554,calendar
Tashkent,month,0.018946715136209723,calendar
Tashkent,dow,0.01465757738887273,calendar
Tashkent,is_heating_season,0.018263307170382753,calendar
Tashkent,nbr_idw,0.1412204303491094,spatial_neighbour
Tashkent,nbr_mean,0.07748916612263633,spatial_neighbour
Tashkent,nbr_count,0.021922816516607525,spatial_neighbour
