task,station_id,horizon_h,model,n,rmse,mae,bias,r2,median_ae,f1_exceed,precision,recall,n_days,n_exceed_obs,city
F,8876,24,persistence,8162,26.74002457892933,15.117618230825778,-0.1778975741239892,0.1827850810292796,7.0,0.8469055374592832,0.8496732026143791,0.8441558441558441,338,154,Almaty
F,8876,24,diurnal_persistence,8162,26.74002457892933,15.117618230825778,-0.1778975741239892,0.1827850810292796,7.0,0.8469055374592832,0.8496732026143791,0.8441558441558441,338,154,Almaty
F,8876,24,same_hour_mean_7d,8283,22.717941064781527,13.278020098538025,-0.324719879500756,0.4061514749257611,6.2857142857142865,0.8510638297872339,0.8187134502923976,0.8860759493670886,344,158,Almaty
F,8876,24,climatology_mean,8307,25.931408888485016,16.423237288469895,8.036101041824768,0.2243619228124606,7.8125,0.8241469816272965,0.7072072072072072,0.9874213836477987,345,159,Almaty
F,8876,48,persistence,8098,29.544732317379463,17.009508520622376,0.040380340824895035,-0.0034782074563926013,8.0,0.803921568627451,0.8092105263157895,0.7987012987012987,337,154,Almaty
F,8876,48,diurnal_persistence,8098,29.544732317379463,17.009508520622376,0.040380340824895035,-0.0034782074563926013,8.0,0.803921568627451,0.8092105263157895,0.7987012987012987,337,154,Almaty
F,8876,48,same_hour_mean_7d,8259,23.35816635392277,13.653149234024644,-0.5135272343590542,0.37371273624968226,6.428571428571429,0.8536585365853657,0.8235294117647058,0.8860759493670886,343,158,Almaty
F,8876,48,climatology_mean,8307,25.931408888485016,16.423237288469895,8.036101041824768,0.2243619228124606,7.8125,0.8241469816272965,0.7072072072072072,0.9874213836477987,345,159,Almaty
F,8876,72,persistence,8069,29.699233849762148,17.057256165571943,-0.1830462262981782,-0.030115790991700253,8.0,0.7814569536423841,0.7866666666666666,0.7763157894736842,335,152,Almaty
F,8876,72,diurnal_persistence,8069,29.699233849762148,17.057256165571943,-0.1830462262981782,-0.030115790991700253,8.0,0.7814569536423841,0.7866666666666666,0.7763157894736842,335,152,Almaty
F,8876,72,same_hour_mean_7d,8236,23.39671940856612,13.60857414602558,-0.7147115451328662,0.37275027687824847,6.2857142857142865,0.8623853211009175,0.834319526627219,0.8924050632911392,342,158,Almaty
F,8876,72,climatology_mean,8307,25.931408888485016,16.423237288469895,8.036101041824768,0.2243619228124606,7.8125,0.8241469816272965,0.7072072072072072,0.9874213836477987,345,159,Almaty
F,9769,24,persistence,6166,54.303045876238954,27.470807654881607,-0.26970483295491404,0.015128939748237369,12.0,0.9244444444444444,0.9244444444444444,0.9244444444444444,262,225,Dushanbe
F,9769,24,diurnal_persistence,6166,54.303045876238954,27.470807654881607,-0.26970483295491404,0.015128939748237369,12.0,0.9244444444444444,0.9244444444444444,0.9244444444444444,262,225,Dushanbe
F,9769,24,same_hour_mean_7d,6291,46.388588942482905,24.9835645782713,-0.6125190180984171,0.2759363696640571,12.285714285714292,0.931106471816284,0.8849206349206349,0.9823788546255506,264,227,Dushanbe
F,9769,24,climatology_mean,6344,49.17560540088886,30.68996654066816,6.135099618304107,0.1827138119074534,21.684571016582552,0.923076923076923,0.8571428571428571,1.0,266,228,Dushanbe
F,9769,48,persistence,6092,58.73153165245175,29.88263296126067,-0.18204202232435981,-0.14772368659101565,12.0,0.9099099099099099,0.9099099099099099,0.9099099099099099,259,222,Dushanbe
F,9769,48,diurnal_persistence,6092,58.73153165245175,29.88263296126067,-0.18204202232435981,-0.14772368659101565,12.0,0.9099099099099099,0.9099099099099099,0.9099099099099099,259,222,Dushanbe
F,9769,48,same_hour_mean_7d,6241,48.55783453032911,26.540665796842692,-0.9933084594196596,0.21021222579651377,13.166666666666666,0.9263157894736842,0.88,0.9777777777777777,262,225,Dushanbe
F,9769,48,climatology_mean,6344,49.17560540088886,30.68996654066816,6.135099618304107,0.1827138119074534,21.684571016582552,0.923076923076923,0.8571428571428571,1.0,266,228,Dushanbe
F,9769,72,persistence,6030,59.016206279702736,31.00978441127695,0.00912106135986733,-0.15712606181498345,14.0,0.8995433789954339,0.9036697247706422,0.8954545454545455,256,220,Dushanbe
F,9769,72,diurnal_persistence,6030,59.016206279702736,31.00978441127695,0.00912106135986733,-0.15712606181498345,14.0,0.8995433789954339,0.9036697247706422,0.8954545454545455,256,220,Dushanbe
F,9769,72,same_hour_mean_7d,6199,50.069177774074745,27.725318599774155,-1.3398301569377546,0.16258473318331346,13.857142857142858,0.9279661016949152,0.8830645161290323,0.9776785714285714,260,224,Dushanbe
F,9769,72,climatology_mean,6344,49.17560540088886,30.68996654066816,6.135099618304107,0.1827138119074534,21.684571016582552,0.923076923076923,0.8571428571428571,1.0,266,228,Dushanbe
F,8684,24,persistence,8143,50.485417248778376,27.66081296819354,0.16406729706496379,0.015457553072712016,13.0,0.934673366834171,0.9331103678929766,0.9362416107382551,338,298,Dushanbe
F,8684,24,diurnal_persistence,8143,50.485417248778376,27.66081296819354,0.16406729706496379,0.015457553072712016,13.0,0.934673366834171,0.9331103678929766,0.9362416107382551,338,298,Dushanbe
F,8684,24,same_hour_mean_7d,8248,43.4163498808471,25.190658052745828,-0.024421504780379234,0.2686511989813499,13.857142857142858,0.9402515723270439,0.8952095808383234,0.9900662251655629,342,302,Dushanbe
F,8684,24,climatology_mean,8272,44.768482319787566,28.045846300452205,3.0554349388623265,0.22099457024009383,19.509090909090908,0.9380804953560371,0.8833819241982507,1.0,343,303,Dushanbe
F,8684,48,persistence,8087,55.2483147518837,30.574625942871275,0.15469271670582416,-0.1745209031068422,14.0,0.9238578680203045,0.9222972972972973,0.9254237288135593,335,295,Dushanbe
F,8684,48,diurnal_persistence,8087,55.2483147518837,30.574625942871275,0.15469271670582416,-0.1745209031068422,14.0,0.9238578680203045,0.9222972972972973,0.9254237288135593,335,295,Dushanbe
F,8684,48,same_hour_mean_7d,8224,45.48187904066686,26.685713706688897,-0.17704048545488238,0.1990031238756591,14.857142857142858,0.9369085173501577,0.8918918918918919,0.9867109634551495,341,301,Dushanbe
F,8684,48,climatology_mean,8272,44.768482319787566,28.045846300452205,3.0554349388623265,0.22099457024009383,19.509090909090908,0.9380804953560371,0.8833819241982507,1.0,343,303,Dushanbe
