task,fold,held_out_city,station_id,model,n,rmse,mae,bias,r2,median_ae,f1_exceed,precision,recall,n_days,n_exceed_obs,kriging_fallback_rate
N,0,Almaty,8876,nearest_monitor,8307,35.43616472116671,19.853795594077283,-10.649801372336583,-0.44843936119183003,9.0,0.6530612244897959,0.9302325581395349,0.5031446540880503,345,159,
N,0,Almaty,8876,idw_k5_p2,8307,29.651898240745442,16.354288706061315,-4.960944679248622,-0.01417265540993351,7.174544964410648,0.8250825082508251,0.8680555555555556,0.7861635220125787,345,159,
N,0,Almaty,8876,ordinary_kriging,8307,27.68101894605247,17.3871637865411,3.0543048933738,0.11616531726514123,9.82417556050606,0.7506297229219144,0.6260504201680672,0.9371069182389937,345,159,0.0014
N,1,Ashgabat,Ashgabat,nearest_monitor,6394,62.040484268376034,33.51975445730372,19.197574288395373,-3.4778068327665155,17.0,0.8240963855421688,0.7737556561085973,0.8814432989690721,263,194,
N,1,Ashgabat,Ashgabat,idw_k5_p2,6394,45.28936025441036,25.779909573282353,11.160609692528626,-1.3862028960384603,12.770567679399875,0.8305489260143198,0.7733333333333333,0.8969072164948454,263,194,
N,1,Ashgabat,Ashgabat,ordinary_kriging,6394,36.20518872259856,19.48667826919734,1.0631908817257876,-0.5249535935472589,10.292429945306942,0.7560321715817694,0.7877094972067039,0.7268041237113402,263,194,0.0002
N,2,Bishkek,Bishkek,nearest_monitor,7900,34.632921624746345,19.75769746835443,13.07205189873418,-0.576954253941826,9.0,0.628099173553719,0.4634146341463415,0.9743589743589743,333,78,
N,2,Bishkek,Bishkek,idw_k5_p2,7900,35.13650684535407,23.47480386598344,18.034807038538386,-0.6231475525766532,13.8847638616779,0.5234899328859061,0.35454545454545455,1.0,333,78,
N,2,Bishkek,Bishkek,ordinary_kriging,7900,38.15862254290189,28.274724113064874,23.02765706312942,-0.9143714685753557,19.798330425999644,0.4204851752021564,0.26621160409556316,1.0,333,78,0.0001
N,3,Dushanbe,8684,nearest_monitor,8272,55.69055716089323,33.57792069632496,-20.443508220502903,-0.20547682869239448,19.0,0.7014613778705637,0.9545454545454546,0.5544554455445545,343,303,
N,3,Dushanbe,9769,nearest_monitor,6344,58.43501615932311,33.48511191677175,-21.052924022698612,-0.15404054190358152,17.515,0.6239067055393586,0.9304347826086956,0.4692982456140351,266,228,
N,3,Dushanbe,8684,idw_k5_p2,8272,54.062352411052714,32.76415654413162,-13.545044942592472,-0.13601906428067534,18.93250592249783,0.7786259541984735,0.9230769230769231,0.6732673267326733,343,303,
N,3,Dushanbe,9769,idw_k5_p2,6344,56.82566604978612,32.14463536782864,-18.113037872522757,-0.09134936127357074,16.6011545012712,0.6986666666666667,0.891156462585034,0.5745614035087719,266,228,
N,3,Dushanbe,8684,ordinary_kriging,8272,52.668479928376634,30.813250544003864,-18.825469596228242,-0.07819499090265869,18.021166666666666,0.7641325536062377,0.9333333333333333,0.6468646864686468,343,303,0.0023
N,3,Dushanbe,9769,ordinary_kriging,6344,56.05314353383933,30.829846836906263,-23.583551754939048,-0.0618781289495387,16.096666666666664,0.672176308539945,0.9037037037037037,0.5350877192982456,266,228,0.0023
N,4,Khujand,1894632,nearest_monitor,6753,42.260427325575684,24.443673922701024,7.163611728120837,-0.5862619922879502,11.599999999999994,0.782608695652174,0.6650246305418719,0.9507042253521126,274,142,
N,4,Khujand,1924313,nearest_monitor,7762,51.5154457322763,30.661895130121103,-10.270124967791805,-0.03591877119834286,14.049999999999997,0.8906882591093117,0.9128630705394191,0.8695652173913043,316,253,
N,4,Khujand,1894632,idw_k5_p2,6753,38.617710600722816,24.135006544454786,9.75024783017899,-0.3245861121386333,13.63849091878453,0.7180851063829786,0.5769230769230769,0.9507042253521126,274,142,
N,4,Khujand,1924313,idw_k5_p2,7762,48.409213728979275,29.73778800387012,-7.623046130075871,0.08524069346029128,14.880201438349378,0.8939393939393939,0.8581818181818182,0.932806324110672,316,253,
N,4,Khujand,1894632,ordinary_kriging,6753,33.135100304031496,20.61798906582648,4.527929803584358,0.024822372389331937,11.270819857226261,0.7513812154696132,0.6181818181818182,0.9577464788732394,274,142,0.0024
N,4,Khujand,1924313,ordinary_kriging,7762,46.93526013068917,27.68901068083537,-13.810417654676206,0.14009744889015396,12.386651689193322,0.8806262230919766,0.872093023255814,0.8893280632411067,316,253,0.0024
N,5,Tashkent,8881,nearest_monitor,7903,44.2055435492928,24.922170062001772,-4.451622168796659,-0.20368460007179068,11.7,0.7935034802784222,0.8592964824120602,0.7370689655172413,337,232,
N,5,Tashkent,8881,idw_k5_p2,7903,41.23427240716628,24.173131494449837,3.620948480047757,-0.047311580190052105,12.211359791119822,0.8306451612903226,0.7803030303030303,0.8879310344827587,337,232,
N,5,Tashkent,8881,ordinary_kriging,7903,36.49158125077104,21.21751234970116,-3.417361797331394,0.17975309684385998,11.335082135260205,0.8316008316008316,0.8032128514056225,0.8620689655172413,337,232,0.0014
